ID,ParkID,ParkName,AmenityType,CourtCount,DescriptionHTML,DescriptionText,FieldCount,FieldSurface,AgeGroup,HasSwingset,CreatedDate,UpdatedDate
0D588F80A2C92A61525C825EC34FEEA5,922,Archery Range,Archery,,,,,,,False,9/11/2012 1:33:14 PM,10/12/2012 3:11:33 PM
9B3E66A20C36F31E9CB79476B5CB06CD,125,Fort Boise Park,Baseball,,"<p>Jack Acree Legion Field: 1 Regulation lighted baseball diamondwith dirt infield (used for Boise High School Baseball LeagueOnly)</p>","Jack Acree Legion Field: 1 Regulation lighted baseball diamondwith dirt infield (used for Boise High School Baseball LeagueOnly)",1,Dirt,,False,9/11/2012 11:21:59 AM,10/12/2012 3:11:58 PM
FA131692782A8D864F9E0C551A7907EA,119,Elm Grove Park,Basketball,1,,,,,,False,9/11/2012 11:41:22 AM,10/12/2012 3:11:53 PM
5DE182B56970C1A4353B66A1A801E71D,122,Fairview Park,Basketball,2,"<p><img src=""//parks.cityofboise.org/media/6121/fairviewbball_300x200.jpg"" width=""300"" height=""200"" alt=""fairviewbball.jpg"" class=""align-left""></p>",,,,,False,9/11/2012 11:30:05 AM,10/12/2012 3:11:56 PM
760AFE8D2207D4E86115CEDCF657B2EF,118,DeMeyer Park,Basketball,1,,,,,,False,9/11/2012 11:44:13 AM,10/12/2012 3:11:52 PM
29D984461C79613BE57BE66903F5241B,116,Cottonwood Park,Basketball,2,"<p><img src=""//parks.cityofboise.org/media/9074/Cottonwoodbball_350x233.jpg"" width=""350"" height=""233"" alt=""Cottonwoodbball.JPG"" class=""align-right""></p>",,,,,False,9/11/2012 12:13:07 PM,8/8/2013 8:44:37 AM
E52131E46956EF71643F7309CA1B2248,114,Castle Hills Park,Basketball,1,"<p><img src=""//parks.cityofboise.org/media/6092/castlebball_300x225.jpg"" width=""300"" height=""225"" alt=""castlebball.jpg""></p>",,,,,False,9/11/2012 12:25:08 PM,10/12/2012 3:11:47 PM
D9E0BD96C7D43DAC9E7640A3A5B3F36A,146,Nottingham Park,Basketball,1,"<p><img src=""//parks.cityofboise.org/media/6203/nottinghambball_225x169.jpg"" width=""225"" height=""169"" alt=""nottinghambball.jpg""></p>",,,,,False,9/10/2012 4:35:14 PM,10/12/2012 3:12:17 PM
C2608672EE1C017615F599584D8FC534,144,Mountain View Park,Basketball,2,,,,,,False,9/10/2012 4:42:37 PM,10/12/2012 3:12:13 PM
E7A2634D094541A1464F0263D974C08C,139,Manitou Park,Basketball,1,"<p><img width=""375"" height=""281"" src=""//parks.cityofboise.org/media/888535/DSCN4064_375x281.jpg"" alt=""manitoubball""></p>",,,,,False,9/11/2012 8:07:01 AM,10/25/2013 2:40:39 PM
BADF54B429E981D5C856DDCBD4492BBB,127,Helen B. Lowder Park,Basketball,2,,,,,,False,9/11/2012 10:59:53 AM,10/12/2012 3:11:59 PM
8A4F5494C9C8B9214BBD27C9042C46D7,172,Willow Lane Park,Basketball,1,,,,,,False,9/6/2012 12:31:09 PM,10/12/2012 3:12:37 PM
42A4657503EB37BA8FBE3F58B28DCD0C,170,Williams Park,Basketball,1,"<p><img src=""//parks.cityofboise.org/media/6281/williamsbball_300x225.jpg"" width=""300"" height=""225"" alt=""williamsbball.jpg""></p>",,,,,False,9/6/2012 1:01:26 PM,10/12/2012 3:12:35 PM
BAA459CE814B3928B9CF84E557E73BB0,163,Sunset Park,Basketball,1,"<p>The basketball court has just been updated. Improvements includea new surface, court striping, standards, backboards and hoops.Funding was provided by the City of Boise as part of routine repairand maintenance of park facilities.</p>","The basketball court has just been updated. Improvements includea new surface, court striping, standards, backboards and hoops.Funding was provided by the City of Boise as part of routine repairand maintenance of park facilities.",,,,False,9/6/2012 1:51:24 PM,10/12/2012 3:12:31 PM
0CC05192D9C7C9243973F23F3D3D9D09,162,Skyline Park,Basketball,1,"<p>1 half court basketball court; 2 hoops, one regulation, oneshort</p>","1 half court basketball court; 2 hoops, one regulation, oneshort",,,,False,9/6/2012 2:36:54 PM,10/12/2012 3:12:29 PM
2B6B2F31693CCB2C124438ADD4C4C820,156,Rhodes Skatepark,Basketball,1,,,,,,False,9/6/2012 3:23:52 PM,10/12/2012 3:12:26 PM
B65BAC04DDD49BA0E18CB4208FD0F4A3,154,Quarry View Park,Basketball,1,"<p><img src=""//parks.cityofboise.org/media/9079/qvbball_300x199.jpg"" width=""300"" height=""199"" alt=""qvbball.JPG"" class=""align-left""></p>",,,,,False,9/6/2012 3:30:20 PM,8/8/2013 8:37:49 AM
C737298431F4FD3B60DA41207FA63614,152,Phillippi Park,Basketball,2,"<p><span><img src=""//parks.cityofboise.org/media/8937/phil_bball_400x300.jpg"" width=""400"" height=""300"" alt=""phil_bball.JPG"" class=""align-left"">The basketball courts just received amajor facelift. The $31,000 project is funded by the City ofBoise.</span> <a href=""mailto:%20wlarimore@cityofbosie.org"">WendyLarimore</a> <span>was the project manager.</span></p>","The basketball courts just received amajor facelift. The $31,000 project is funded by the City ofBoise.WendyLarimorewas the project manager.",,,,False,9/6/2012 3:45:25 PM,7/9/2013 1:46:23 PM
6E5289251828EDDC2EB1C044A3A1B478,149,Owyhee Park,Basketball,1,"<p><img width=""325"" height=""243"" src=""//parks.cityofboise.org/media/1060723/IMG_1085_325x243.jpg"" alt=""owyhee bball""></p>",,,,,False,9/6/2012 4:33:04 PM,3/25/2015 2:48:30 PM
5CE0EE3E863EE8988574F6233B718984,103,Baggley Park,Basketball,2,,,,,,False,9/11/2012 1:29:37 PM,10/12/2012 3:11:34 PM
0C02CE908A7ED99B1539371EF063C339,151,Peppermint Park,Basketball,1,,,,,,False,3/25/2015 8:25:30 AM,3/25/2015 8:25:40 AM
69C1E5BB8B47A077FC2793EF6FEA64CD,115,Catalpa Park,Basketball,1,,,,,,False,3/25/2015 8:26:49 AM,3/25/2015 8:26:55 AM
F43ADCFBD47F7B7CEA77B1AB639BEE0D,0,Greenbelt,Birding,,"<p>This location provides opportunities to see birds and other wildlife. </p><p><img width=""100"" height=""98"" src=""//parks.cityofboise.org/media/931651/download_100x98.jpg"" alt=""idaho birding trail"">The Idaho Birding Trail (IBT) is a network of sites and side-trips that provides the best viewing opportunities to see birds in Idaho. With 175 sites and about 2,000 miles of trail separated into four distinct regions the IBT represents a collection of bird watching hotspots, diverse habitats, and a glimpse of Idaho's rich natural heritage. In recognition of the educational and recreational opportunities it offers to the public, the House of Representatives passed a resolution in 2006 declaring the IBT as the official state birding trail of Idaho.</p><p>If you are interested in learning more about birding in Idaho and the Idaho Birding Trail, see <a href=""http://fishandgame.idaho.gov/ifwis/ibt/"" target=""_blank"">http://fishandgame.idaho.gov/ifwis/ibt/</a></p>","This location provides opportunities to see birds and other wildlife. The Idaho Birding Trail (IBT) is a network of sites and side-trips that provides the best viewing opportunities to see birds in Idaho. With 175 sites and about 2,000 miles of trail separated into four distinct regions the IBT represents a collection of bird watching hotspots, diverse habitats, and a glimpse of Idaho's rich natural heritage. In recognition of the educational and recreational opportunities it offers to the public, the House of Representatives passed a resolution in 2006 declaring the IBT as the official state birding trail of Idaho.If you are interested in learning more about birding in Idaho and the Idaho Birding Trail, see http://fishandgame.idaho.gov/ifwis/ibt/",,,,False,8/15/2012 8:08:18 AM,10/12/2012 3:11:59 PM
1987D21C685CEA80A1CCCB37DC489861,171,Willow Lane Athletic Complex,BMX Jump Park,,"<p>This facility can accommodate the novice taking a jump for thefirst time, as well as the experienced rider looking for an extremeride.</p>","This facility can accommodate the novice taking a jump for thefirst time, as well as the experienced rider looking for an extremeride.",,,,False,9/6/2012 12:59:16 PM,6/25/2013 7:30:07 AM
